Card	Quantity in existence	Quantity not yet sold	Theoretical Chance				
No code - Lost Typewriter with error	8	8	4.79%				
L-2 Alembic	8	8	4.79%				
C-18 - Pouting Cat	2	1	1.20%				
C-6 - Grinning Squinting Face	5	5	2.99%				
C-1 - Slightly Smiling Face	12	12	7.19%				
C-2 - Grinning face	9	8	5.39%				
C-23 - Blue Heart	12	10	7.19%				
C-20 - Sparkling Heart	13	13	7.78%				
C-36 - Ghost	2	1	1.20%				
C-34 - Pleading Face	3	3	1.80%				
C-11 - Face Blowing a Kiss	3	3	1.80%				
C-22 - Broken Heart	12	11	7.19%				
C-4 - Grinning Face with Smiling Eyes	8	7	4.79%				
C-5 - Beaming Face with Smiling Eyes	5	5	2.99%		Card codes and meanings		
C-8 - Rolling on the Floor Laughing	5	5	2.99%		C	Common	
C-10 - Smiling face with Heart Eyes	5	5	2.99%		U	Uncommon	
C-12 - Winking Face with Tongue	5	5	2.99%		R	Rare	
C-19 - See No Evil Monkey	2	2	1.20%		SR	Super rare	
C-7 - Grinning face with Sweat	5	5	2.99%		LE	Legendary	
C-24 - ZZZ	5	5	2.99%		CH25	Christmas 2025	
C-13 - Slightly Frowning Face	2	2	1.20%		L	Lost	
C-9 - Smiling Face with Smiling Eyes	5	4	2.99%		E1	Event 1 - Split	
C-17 - Grinning Cat	3	2	1.80%				
C-15 - Angry Face	3	3	1.80%				
C-21 - Red Heart	13	13	7.78%				
C-3 - Grinning Face with Big Eyes	12	11	7.19%				
U-1 Face with tears of joy	0	0	0.00%				
U-2 Face with tongue	0	0	0.00%				
U-5 Upside down face	0	0	0.00%				
U-3 Smiling face with tear	0	0	0.00%				
U-4 Face with hand over mouth	0	0	0.00%				
U-7 Smiling face with hearts	0	0	0.00%				
U-6 Winking face	0	0	0.00%				
U-8 Face savouring food	0	0	0.00%				
U-9 Smiling face with halo	0	0	0.00%				
U-10 Smiling face with tears	0	0	0.00%				
U-11 Thinking face	0	0	0.00%				
U-12 Face with hand over mouth	0	0	0.00%				
U-13  Neutral Face	0	0	0.00%				
U-14 Shushing	0	0	0.00%				
U-15 Face with raised eyebrow	0	0	0.00%				
U-16 Face with open eyes and hand over mouth	0	0	0.00%				
R-1 Face in clouds	0	0	0.00%				
R-2 Saluting face	0	0	0.00%				
R-3 Zipper-mouth face	0	0	0.00%				
R-4 Expressionless face	0	0	0.00%				
R-5 Nauseated face	0	0	0.00%				
R-6 Face vomiting	0	0	0.00%				
R-7 Lying face	0	0	0.00%				
R-8 Sneezing face	0	0	0.00%				
SR-1 Clown face	0	0	0.00%				
SR-2 Dotted line face	0	0	0.00%				
SR-3 Cold face	0	0	0.00%				
SR-4 Melting face	0	0	0.00%				
SR-5 Head exploding	0	0	0.00%				
SR-6 Robot	0	0	0.00%				
SR-7 Skull and crossbones	0	0	0.00%				
SR-8 Alien	0	0	0.00%				
LE-1 Goblin	0	0	0.00%				
LE-2 Ogre	0	0	0.00%				
LE-3 Chocolate scoop	0	0	0.00%				
LE-4 Alien monster	0	0	0.00%				
LE-5 Shaking face	0	0	0.00%				
LE-6 Face with symbols on mouth	0	0	0.00%				
LE-7 Face screaming in fear	0	0	0.00%				
LE-8 Nerd face	0	0	0.00%				
CH25-1 Christmas tree	0	0	0.00%				
CH25-2 Christmas tree no lights	0	0	0.00%				
CH25-3 Wrapped gift	0	0	0.00%				
Total	167	157	100.00%				
